Biomasse [GWh],Wasserkraft [GWh],Wind Offshore [GWh],Wind Onshore [GWh],Photovoltaik [GWh],Sonstige Erneuerbare [GWh],Braunkohle [GWh],Steinkohle [GWh],Erdgas [GWh],Pumpspeicher [GWh],Sonstige Konventionelle [GWh],Total renewable,Total fossil,Total,Day-ahead-price GER
1.3525425290170183,-0.7200561651319017,-0.3337221313086603,2.225692566088498,-1.38666628505481,-0.6366432267188169,-1.509174829935783,-0.7498502532107656,-1.2567504065621526,-1.308839691461175,0.20524947927046705,1.4716050763435973,-0.8664015891072865,0.5346312905147463,25.92
1.4238676455536954,-0.8997185106166263,0.20307170255365725,1.5565849563828633,-1.1716848370106263,-0.6918281930445888,-0.30654784837943005,0.15057001439278636,-0.6638906832207079,-0.9964597406192913,0.23500148248329963,1.0133905651275812,0.1383178822489992,1.1705045873901057,57.72
1.5839739702711315,-0.8832592594538382,-0.10459685878774977,-0.2609794063681405,-1.2564841194337013,-0.6424961776927627,1.1387294873149323,2.157368505760556,0.6617594701366637,0.745373870433414,0.3970472374652343,-0.7940745805393838,1.8349452904506156,1.2043444298721255,49.91
1.6832604281743477,-0.7803889396864089,0.5088573551227915,0.7384590305485006,-1.3904718054583565,-0.721650371816597,1.3821203941517766,1.0071742105801067,0.2164916921072908,-0.7522906238173379,0.4867058452527551,0.19210261372639761,1.3845889568719023,1.7048162267070333,42.18
1.6278906533214013,-0.9048219472596339,0.527255339153551,1.1147620681309813,-1.4198381351416727,-0.6645144218328435,0.8329454855337056,0.13195779282847928,-0.32434132354519224,-1.3508493010442804,0.4363810766248248,0.5229070986810209,0.7297276084263146,1.322704299458047,54.55
1.56185765506596,-0.8633799041533272,-0.08780917384169487,-0.45839101981157854,-1.3674241756239343,-0.6525298079338119,1.4867800753618807,1.0897521311395568,0.03951559628008467,-0.6896518542377597,0.5819605673117021,-1.0866600127146437,1.4158543522035645,0.452472890265483,51.81
1.5342517544795067,-0.36324311313859153,0.06554328505563257,0.40513591526521353,-1.382466176940666,-0.6491852645201287,1.3144791674780487,1.8164038810132253,0.5628048946070882,1.39392460913891,0.22074950800786922,-0.11908574318018345,1.7307508895918435,1.7696556399286507,34.5
1.2797166625199876,-0.5094525650262203,0.5166235613383948,2.80326578739693,-1.35226830000146,-0.4462829640900188,-0.37814582976222094,-0.20476935659109724,-0.4018807717117063,-0.9013589999982229,0.32369385471316414,2.232651052816008,0.15467202306981248,2.414973103660766,40.0
1.3847296663245443,-0.5798051759217114,1.0198039867475464,1.8283593724146554,-1.356664377851068,-0.4473978118945802,0.33365995976316337,0.7762398125405097,0.04935357600202416,-0.6390963255665861,0.3895186520784966,1.375846311901522,0.8897614950845198,2.3554970878002988,67.67
1.6988603290779947,0.37659488271604047,-1.1301354841384612,-0.5888701856025828,-1.3763937633809362,0.5250281856337904,1.1931050282471376,3.0139630931602848,1.3732534366987268,2.1222998667988913,1.0965212615785642,-1.2425048746521516,2.365025916568967,1.3318980262023663,49.92
1.8066378722831977,-0.39463860034033954,0.8760372452363352,0.5023218766591308,-1.4349648801277946,1.4581557980513835,1.2244530524077266,2.108626329239196,0.9208361581401793,-0.09635220414193599,0.8170376265264901,0.06203918130491616,1.8993359679993693,2.1359172826785198,40.8
1.7970804646409622,-0.8469473725541143,0.9652123118719879,1.5738217207437815,-1.4181300205555298,1.506651677549789,0.1944023908959299,-0.010492483212228695,-0.37821473832104663,-1.049769997787718,0.5858255095423274,1.0823849416120372,0.42447675530033707,1.5523145821670918,15.1
1.4907694990493394,-0.6563834451303996,1.0167165235418334,2.416477298383345,-1.4271658143042427,0.5044035012494106,-1.3874487751661693,-0.7697628640290922,-1.0882587802425974,-2.1643394085227885,-0.021614577704243555,1.8686935316656201,-0.6262017537729602,1.19634087880232,32.61
1.3904562122258828,0.2408862193137622,0.8817557089150895,2.1481609008049847,-1.2304069034185856,1.3098810400447647,-0.5929917962076185,0.25715709221364447,-0.12681041369660895,0.45753604620341853,0.12996362540308312,1.8038787642706855,0.2591312032142902,2.0976526081165265,45.45
1.3488696409561587,-0.008808102303542021,0.4096591276488786,2.1817266700561806,-1.3348084558674438,1.3349651156473883,0.10743029067452159,0.7527399210214389,0.1496802029817011,0.07312620590495843,0.17324292642310274,1.6780682265976852,0.8024658013507686,2.564241262076145,45.2
1.5192442548759955,-0.45983433546567093,0.992048516697007,1.603773043016579,-1.1683983715820938,1.3466710175952796,0.5780790720000427,0.5443637533169674,0.3453013655416305,0.14819255745509732,0.10548565794245766,1.278925446295953,0.9513403666963984,2.3252172398137247,42.84
1.4803037427468906,-0.6301715532623873,1.221750707393934,1.6448722678224228,-1.2819310544077285,1.4745998031686594,0.8899772237493344,0.8491256693495562,0.12496102739690974,-1.4843597219622715,0.03189071630097226,1.2428502898572495,1.1002931866487344,2.451536189795283,61.73
1.464940802363298,0.034637908070961766,-0.9350547237626845,-0.29042233593479616,-0.9965382100590973,1.5024709982826858,1.6512868190972343,2.8558601021333843,1.0663885675129121,1.367879903346702,-0.2106344086707495,-0.7926298061199047,2.3424210550398312,1.7598088964425633,55.39
1.7507941763901382,-0.38063754902653885,-1.011639026688796,-0.8405067991740734,-0.8290370510303507,1.4715339717061167,1.497453826657482,2.9199795417299876,0.40879026520967865,-1.8190279306455643,-0.1119173425302015,-1.4012869792701614,2.130194561650912,0.9157929496735623,53.89
